Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020/1/14,301,1:36:00 AM,Tuesday,Neville Park,Mechanical,10,20,W/B,4586
2020/1/14,301,3:45:00 AM,Tuesday,E/B trailer Track Russell Yard,Investigation,15,30,E/B,4594
2020/1/14,304,4:43:00 AM,Tuesday,Dundas West StATION,Emergency Services,15,20,N/B,4502
2020/1/14,508,4:47:00 AM,Tuesday,Queen Street west and Roncesvalles Avenue,Utilized Off Route,1,1,W/B,1374
2020/1/14,310,4:54:00 AM,Tuesday,Union station Platform,Mechanical,1,1,W/B,4534
2020/1/14,504,5:26:00 AM,Tuesday,Queen and Broadview Av.,Mechanical,1,1,W/B,4573
2020/1/14,504,6:16:00 AM,Tuesday,Leslie and Queen Street,Held By,7,14,N/B,4517
2020/1/14,501,6:20:00 AM,Tuesday,Queen & Agnes Lane,Mechanical,18,26,W/B,4416
2020/1/14,504,6:33:00 AM,Tuesday,Leslie and Queen,Held By,5,10,N/B,4427
2020/1/14,506,6:34:00 AM,Tuesday,Leslie and Eastern,Held By,7,15,N/B,4595
2020/1/14,504,6:43:00 AM,Tuesday,Leslie and Queen Street,Held By,5,10,N/B,4400
2020/1/14,504,6:46:00 AM,Tuesday,Leslie and Queen Street,Held By,5,10,N/B,4460
2020/1/14,504,6:54:00 AM,Tuesday,Leslie Barns,Held By,5,10,N/B,4584
2020/1/14,511,6:56:00 AM,Tuesday,Queen / Leslie,Held By,7,14,W/B,4453
2020/1/14,511,6:56:00 AM,Tuesday,Queen / Leslie,Held By,7,14,W/B,4480
2020/1/14,511,6:57:00 AM,Tuesday,Queen / Leslie,Held By,7,14,W/B,4590
2020/1/14,506,7:01:00 AM,Tuesday,Leslie Barns,Held By,7,15,W/B,4452
2020/1/14,504,7:04:00 AM,Tuesday,Leslie and Queen Street,Held By,5,10,N/B,4506
2020/1/14,506,7:05:00 AM,Tuesday,Leslie Barns,Held By,7,15,E/B,4566
2020/1/14,501,7:06:00 AM,Tuesday,Queen & Spadina,General Delay,15,8,W/B,4539
2020/1/14,504,7:09:00 AM,Tuesday,Leslie and Queen Street,Held By,5,10,N/B,4436
2020/1/14,510,7:13:00 AM,Tuesday,Spadina and King,Held By,9,11,N/B,4553
2020/1/14,509,7:18:00 AM,Tuesday,Bathurst and Fleet,Held By,5,10,W/B,4433
2020/1/14,504,7:20:00 AM,Tuesday,Leslie and Queen Street,Held By,5,10,N/B,4494
2020/1/14,510,7:20:00 AM,Tuesday,Spadina and King,Held By,7,10,N/B,4544
2020/1/14,510,7:28:00 AM,Tuesday,Spadina and King,Held By,5,9,N/B,4514
2020/1/14,505,7:35:00 AM,Tuesday,Birchmount Garage,Late Leaving Garage,4,8,E/B,1147
2020/1/14,510,7:37:00 AM,Tuesday,Spadina and King,Held By,5,9,N/B,4529
2020/1/14,504,7:40:00 AM,Tuesday,Leslie and Queen Street,Held By,5,10,N/B,4470
